 v-sweep         v(d)            i(VDS)         
 1.06000000e+00  1.06000000e+00 -5.82050227e-06 
 1.07000000e+00  1.07000000e+00 -5.96905887e-06 
 1.08000000e+00  1.08000000e+00 -6.12109335e-06 
 1.09000000e+00  1.09000000e+00 -6.27667888e-06 
 1.10000000e+00  1.10000000e+00 -6.43589003e-06 
 1.11000000e+00  1.11000000e+00 -6.59880281e-06 
 1.12000000e+00  1.12000000e+00 -6.76549464e-06 
 1.13000000e+00  1.13000000e+00 -6.93604446e-06 
 1.14000000e+00  1.14000000e+00 -7.11053273e-06 
 1.15000000e+00  1.15000000e+00 -7.28904148e-06 
 1.16000000e+00  1.16000000e+00 -7.47165435e-06 
 1.17000000e+00  1.17000000e+00 -7.65845667e-06 
 1.18000000e+00  1.18000000e+00 -7.84953546e-06 
 1.19000000e+00  1.19000000e+00 -8.04497959e-06 
 1.20000000e+00  1.20000000e+00 -8.24487975e-06 
 0.00000000e+00  0.00000000e+00  3.80823036e-11 
 1.00000000e-02  1.00000000e-02 -5.50021256e-06 
 2.00000000e-02  2.00000000e-02 -9.99460030e-06 
 3.00000000e-02  3.00000000e-02 -1.35813240e-05 
 4.00000000e-02  4.00000000e-02 -1.63817770e-05 
 5.00000000e-02  5.00000000e-02 -1.85383360e-05 
 6.00000000e-02  6.00000000e-02 -2.02035999e-05 
 7.00000000e-02  7.00000000e-02 -2.15198280e-05 
 8.00000000e-02  8.00000000e-02 -2.26014486e-05 
 9.00000000e-02  9.00000000e-02 -2.35302828e-05 
 1.00000000e-01  1.00000000e-01 -2.43607381e-05 
 1.10000000e-01  1.10000000e-01 -2.51278581e-05 
 1.20000000e-01  1.20000000e-01 -2.58541369e-05 
 1.30000000e-01  1.30000000e-01 -2.65542043e-05 
 1.40000000e-01  1.40000000e-01 -2.72377820e-05 
 1.50000000e-01  1.50000000e-01 -2.79114921e-05 
 1.60000000e-01  1.60000000e-01 -2.85799620e-05 
 1.70000000e-01  1.70000000e-01 -2.92465057e-05 
 1.80000000e-01  1.80000000e-01 -2.99135526e-05 
 1.90000000e-01  1.90000000e-01 -3.05829227e-05 
 2.00000000e-01  2.00000000e-01 -3.12560074e-05 
 2.10000000e-01  2.10000000e-01 -3.19338899e-05 
 2.20000000e-01  2.20000000e-01 -3.26174285e-05 
 2.30000000e-01  2.30000000e-01 -3.33073135e-05 
 2.40000000e-01  2.40000000e-01 -3.40041089e-05 
 2.50000000e-01  2.50000000e-01 -3.47082811e-05 
 2.60000000e-01  2.60000000e-01 -3.54202207e-05 
 2.70000000e-01  2.70000000e-01 -3.61402588e-05 
 2.80000000e-01  2.80000000e-01 -3.68686786e-05 
 2.90000000e-01  2.90000000e-01 -3.76057247e-05 
 3.00000000e-01  3.00000000e-01 -3.83516104e-05 
 3.10000000e-01  3.10000000e-01 -3.91065227e-05 
 3.20000000e-01  3.20000000e-01 -3.98706270e-05 
 3.30000000e-01  3.30000000e-01 -4.06440703e-05 
 3.40000000e-01  3.40000000e-01 -4.14269841e-05 
 3.50000000e-01  3.50000000e-01 -4.22194864e-05 
