 v-sweep         v(gate)         i(Vds)         
 1.05000000e+00  8.40233319e-01 -1.10570748e-03 
 1.06000000e+00  8.48240747e-01 -1.12001347e-03 
 1.07000000e+00  8.56246748e-01 -1.13429928e-03 
 1.08000000e+00  8.64246696e-01 -1.14856494e-03 
 1.09000000e+00  8.72227673e-01 -1.16281051e-03 
 1.10000000e+00  8.80236499e-01 -1.17703602e-03 
 1.11000000e+00  8.88217089e-01 -1.19124154e-03 
 1.12000000e+00  8.96236682e-01 -1.20542708e-03 
 1.13000000e+00  9.04254829e-01 -1.21959270e-03 
 1.14000000e+00  9.12249868e-01 -1.23373843e-03 
 1.15000000e+00  9.20267855e-01 -1.24786431e-03 
 1.16000000e+00  9.28248100e-01 -1.26197037e-03 
 1.17000000e+00  9.36258566e-01 -1.27605664e-03 
 1.18000000e+00  9.44244300e-01 -1.29012315e-03 
 1.19000000e+00  9.52258601e-01 -1.30416993e-03 
 1.20000000e+00  9.60251982e-01 -1.31819702e-03 
